# Frequency	NEF		NEP
  38.14697    3.28680   42.96812
  38.26618    3.20777   41.93385
  38.38539    3.45712   45.19620
  38.50460    3.45864   45.21722
  38.62381    3.31664   43.35807
  38.74302    3.21816   42.07072
  38.86223    3.26347   42.66468
  38.98144    3.35906   43.91304
  39.10065    3.20252   41.86970
  39.21986    3.25215   42.51955
  39.33907    3.33718   43.62794
  39.45827    3.42504   44.77697
  39.57748    3.15593   41.25868
  39.69669    3.02903   39.59816
  39.81590    2.92698   38.26425
  39.93511    3.06650   40.09018
  40.05432    3.30216   43.17023
  40.17353    3.07799   40.24036
  40.29274    3.29968   43.13979
  40.41195    3.31405   43.32806
  40.53116    3.07384   40.18585
  40.65037    3.17378   41.49381
  40.76958    3.41823   44.68977
  40.88879    3.37633   44.13995
  41.00800    3.24111   42.37433
  41.12720    3.35774   43.89946
  41.24641    3.29421   43.06684
  41.36562    3.22758   42.19480
  41.48483    3.39978   44.44672
  41.60404    3.33594   43.60977
  41.72325    3.15517   41.24530
  41.84246    3.34535   43.73002
  41.96167    3.39907   44.43560
  42.08088    3.29835   43.12230
  42.20009    3.32539   43.47373
  42.31930    3.28278   42.91546
  42.43851    3.13331   40.96185
  42.55772    3.10853   40.63862
  42.67693    3.18874   41.68832
  42.79613    3.21345   42.01293
  42.91534    3.38962   44.31184
  43.03455    3.35210   43.82096
  43.15376    3.46803   45.33893
  43.27297    3.25630   42.57110
  43.39218    2.97764   38.92810
  43.51139    3.32366   43.45085
  43.63060    3.38723   44.28397
  43.74981    3.19783   41.80626
  43.86902    3.13036   40.92243
  43.98823    3.12899   40.90696
  44.10744    3.14207   41.07727
  44.22665    3.08391   40.31643
  44.34586    3.29602   43.08918
  44.46507    3.38952   44.31215
  44.58427    3.39793   44.42495
  44.70348    3.34099   43.67974
  44.82269    3.33790   43.63736
  44.94190    3.32253   43.43824
  45.06111    3.32148   43.42428
  45.18032    3.41110   44.59261
  45.29953    3.43979   44.96797
  45.41874    3.28323   42.92535
  45.53795    3.32041   43.41210
  45.65716    3.06532   40.07689
  45.77637    3.12932   40.91254
  45.89558    3.20583   41.91184
  46.01479    3.22793   42.19735
  46.13400    3.18162   41.59069
  46.25320    3.27756   42.84660
  46.37241    3.30558   43.21397
  46.49162    3.19476   41.76328
  46.61083    3.27340   42.79235
  46.73004    3.40687   44.53988
  46.84925    3.33449   43.59007
  46.96846    3.25381   42.53918
  47.08767    3.37891   44.17637
  47.20688    3.24662   42.44668
  47.32609    3.39120   44.33370
  47.44530    3.12628   40.87084
  47.56451    3.04475   39.80516
  47.68372    3.26743   42.71858
  47.80293    3.38197   44.21598
  47.92213    3.40308   44.49149
  48.04134    3.37448   44.11552
  48.16055    3.14037   41.05621
  48.27976    3.17098   41.45911
  48.39897    3.27050   42.75696
  48.51818    3.31244   43.30154
  48.63739    3.39559   44.39384
  48.75660    3.22677   42.18468
  48.87581    3.24990   42.48597
  48.99502    3.23382   42.27902
  49.11423    3.17869   41.55614
  49.23344    3.26131   42.63643
  49.35265    3.17795   41.54795
  49.47186    3.26848   42.72940
  49.59106    3.28556   42.95238
  49.71027    3.10944   40.65288
  49.82948    3.24287   42.39674
  49.94869    3.37491   44.12412
  50.06790    3.29930   43.13379
  50.18711    3.30005   43.14126
  50.30632    3.42439   44.76502
  50.42553    3.34552   43.73354
  50.54474    3.23125   42.24216
  50.66395    3.05291   39.91125
  50.78316    3.16157   41.33185
  50.90237    3.21902   42.08536
  51.02158    3.33536   43.60270
  51.14079    3.41696   44.67075
  51.25999    3.25389   42.54162
  51.37920    3.20019   41.83690
  51.49841    3.15154   41.20003
  51.61762    3.19415   41.75568
  51.73683    3.11422   40.71295
  51.85604    3.25299   42.52891
  51.97525    3.32911   43.52372
  52.09446    3.34262   43.70019
  52.21367    3.28915   43.00210
  52.33288    3.20467   41.89721
  52.45209    3.30361   43.18778
  52.57130    3.34726   43.75886
  52.69051    3.25844   42.59832
  52.80972    3.27239   42.78089
  52.92892    3.17645   41.52541
  53.04813    3.28536   42.95073
  53.16734    3.31404   43.32848
  53.28655    3.22511   42.16506
  53.40576    3.28060   42.88978
  53.52497    3.19698   41.79406
  53.64418    3.20364   41.88175
  53.76339    3.30585   43.21599
  53.88260    3.35381   43.84636
  54.00181    3.18355   41.62230
  54.12102    3.15268   41.21566
  54.24023    3.23202   42.25237
  54.35944    3.07844   40.24573
  54.47865    3.26144   42.63603
  54.59785    3.18525   41.63711
  54.71706    3.23411   42.28145
  54.83627    3.33854   43.64562
  54.95548    3.09389   40.44441
  55.07469    3.21437   42.02197
  55.19390    3.17534   41.51247
  55.31311    3.09426   40.45508
  55.43232    3.05428   39.93200
  55.55153    3.17520   41.51012
  55.67074    3.30824   43.24629
  55.78995    3.36316   43.96795
  55.90916    3.10523   40.59505
  56.02837    3.14665   41.13699
  56.14758    3.31738   43.36860
  56.26678    3.22070   42.10614
  56.38599    3.20464   41.89591
  56.50520    3.31727   43.36686
  56.62441    3.23852   42.33680
  56.74362    3.19394   41.75607
  56.86283    3.13606   41.00020
  56.98204    3.19242   41.73704
  57.10125    3.39088   44.33048
  57.22046    3.50884   45.87005
  57.33967    3.26677   42.70566
  57.45888    3.21515   42.03092
  57.57809    3.14250   41.08215
  57.69730    3.29554   43.08456
  57.81651    3.32682   43.49189
  57.93571    3.34579   43.74002
  58.05492    3.44635   45.05683
  58.17413    3.26834   42.72881
  58.29334    3.01381   39.40115
  58.41255    3.16121   41.33020
  58.53176    3.14457   41.11169
  58.65097    3.18985   41.70348
  58.77018    2.98787   39.06187
  58.88939    2.99701   39.17984
  59.00860    3.05146   39.89268
  59.12781    3.10307   40.56528
  59.24702    3.24249   42.38746
  59.36623    3.22472   42.15756
  59.48544    3.29454   43.06647
  59.60464    3.23949   42.34961
  59.72385    3.20357   41.88123
  59.84306    3.35516   43.86428
  59.96227    3.81091   49.82167
  60.08148    3.55697   46.50060
  60.20069    3.43716   44.93277
  60.31990    3.12712   40.88383
  60.43911    3.01788   39.45710
  60.55832    3.29297   43.05322
  60.67753    3.41654   44.66720
  60.79674    3.46972   45.36491
  60.91595    3.58989   46.93451
  61.03516    3.37115   44.07227
  61.15437    3.33154   43.55548
  61.27357    3.16631   41.39813
  61.39278    3.22025   42.09971
  61.51199    3.35879   43.90716
  61.63120    3.24466   42.41788
  61.75041    3.07101   40.15077
  61.86962    3.05521   39.94135
  61.98883    3.35850   43.90668
  62.10804    3.43561   44.91588
  62.22725    3.38736   44.28432
  62.34646    3.31929   43.39412
  62.46567    3.26302   42.66006
  62.58488    3.03171   39.63647
  62.70409    3.02788   39.58341
  62.82330    3.07993   40.26400
  62.94250    3.16619   41.39374
  63.06171    3.18826   41.68169
  63.18092    3.15840   41.29256
  63.30013    3.31500   43.33715
  63.41934    3.43430   44.89799
  63.53855    3.28979   43.00992
  63.65776    3.01361   39.39764
  63.77697    3.20830   41.94247
  63.89618    3.12520   40.85508
  64.01539    3.26227   42.64712
  64.13460    3.39138   44.33529
  64.25381    3.22201   42.11950
  64.37302    3.18108   41.58647
  64.49223    3.02119   39.49616
  64.61143    3.16154   41.32953
  64.73064    3.15630   41.26339
  64.84985    3.34572   43.73955
  64.96906    3.36163   43.94738
  65.08827    3.22186   42.12055
  65.20748    3.29986   43.14322
  65.32669    3.45847   45.21562
  65.44590    3.29174   43.03121
  65.56511    3.29964   43.13677
  65.68432    3.29108   43.02625
  65.80353    3.26812   42.72700
  65.92274    3.20413   41.89028
  66.04195    3.17645   41.52580
  66.16116    3.32496   43.46657
  66.28036    3.03468   39.67304
  66.39957    3.12603   40.86682
  66.51878    3.18744   41.67188
  66.63799    3.25795   42.59199
  66.75720    3.16486   41.37660
  66.87641    3.15810   41.28725
  66.99562    3.13427   40.97511
  67.11483    3.04511   39.80992
  67.23404    3.26544   42.69020
  67.35325    3.15238   41.21138
  67.47246    3.28668   42.96844
  67.59167    3.34694   43.75671
  67.71088    3.19811   41.80929
  67.83009    3.06112   40.01936
  67.94930    3.10474   40.58718
  68.06850    3.19811   41.81111
  68.18771    3.25607   42.56827
  68.30692    3.34787   43.76641
  68.42613    3.26118   42.63435
  68.54534    2.97632   38.91022
  68.66455    2.99423   39.14759
  68.78376    3.17384   41.49479
  68.90297    3.12183   40.81212
  69.02218    3.21700   42.05400
  69.14139    3.33240   43.56254
  69.26060    3.59093   46.94193
  69.37981    3.84015   50.20146
  69.49902    3.78228   49.44919
  69.61823    3.87402   50.64818
  69.73743    3.68090   48.12297
  69.85664    3.73700   48.85698
  69.97585    4.09396   53.52742
  70.09506    4.13129   54.01268
  70.21427    3.83753   50.16492
  70.33348    3.61653   47.26961
  70.45269    3.43838   44.94341
  70.57190    3.20885   41.94863
  70.69111    3.13666   41.00541
  70.81032    3.20393   41.88630
  70.92953    3.12424   40.84416
  71.04874    3.20970   41.96060
  71.16795    3.12166   40.80913
  71.28716    3.06857   40.11663
  71.40636    3.28744   42.97798
  71.52557    3.17699   41.53408
  71.64478    3.12142   40.80675
  71.76399    3.21465   42.02622
  71.88320    3.25760   42.58707
  72.00241    3.24163   42.37703
  72.12162    3.18673   41.66179
  72.24083    3.08507   40.33310
  72.36004    3.20953   41.95790
  72.47925    3.27038   42.75222
  72.59846    3.14631   41.13184
  72.71767    3.03650   39.69674
  72.83688    3.10719   40.61936
  72.95609    3.16625   41.39387
  73.07529    3.16588   41.38950
  73.19450    3.31641   43.35535
  73.31371    3.32714   43.49629
  73.43292    3.12560   40.86213
  73.55213    3.33458   43.59460
  73.67134    3.13574   40.99301
  73.79055    3.04895   39.86050
  73.90976    3.21172   41.98749
  74.02897    3.22399   42.14703
  74.14818    3.13685   41.00731
  74.26739    3.17735   41.53909
  74.38660    3.20386   41.88560
  74.50581    3.31745   43.37181
  74.62502    3.31879   43.38653
  74.74422    3.36985   44.05385
  74.86343    3.20616   41.91383
  74.98264    2.98141   38.97435
  75.10185    3.08302   40.30636
  75.22106    3.24089   42.37081
  75.34027    3.19220   41.73175
  75.45948    2.86047   37.39430
  75.57869    2.83414   37.05051
  75.69790    2.87325   37.56319
  75.81711    3.04259   39.78030
  75.93632    3.08291   40.30483
  76.05553    3.28462   42.94131
  76.17474    3.40505   44.51532
  76.29395    3.10399   40.57843
  76.41315    3.16598   41.38769
  76.53236    3.26052   42.62560
  76.65157    3.20071   41.84515
  76.77078    3.25108   42.50029
  76.88999    3.36328   43.96714
  77.00920    3.12806   40.89440
  77.12841    3.09920   40.51767
  77.24762    3.14676   41.13836
  77.36683    3.14901   41.16707
  77.48604    3.38823   44.29377
  77.60525    3.46404   45.28448
  77.72446    3.30507   43.20954
  77.84367    3.22092   42.11077
  77.96288    3.38853   44.29906
  78.08208    3.23124   42.24572
  78.20129    3.28424   42.93820
  78.32050    3.33658   43.62111
  78.43971    3.25968   42.61607
  78.55892    3.26885   42.73156
  78.67813    3.21299   42.00180
  78.79734    3.33878   43.64913
  78.91655    3.11389   40.70870
  79.03576    2.96916   38.81463
  79.15497    3.15259   41.21241
  79.27418    3.15003   41.18008
  79.39339    3.25330   42.53103
  79.51260    3.19535   41.77169
  79.63181    3.08399   40.31551
  79.75101    3.17434   41.49711
  79.87022    3.26999   42.74753
  79.98943    3.40138   44.46729
  80.10864    3.18657   41.65820
  80.22785    3.09587   40.47407
  80.34706    3.14126   41.06811
  80.46627    3.21762   42.06747
  80.58548    3.23987   42.35664
  80.70469    3.19938   41.82652
  80.82390    3.19155   41.72075
  80.94311    3.14761   41.14777
  81.06232    3.09353   40.44319
  81.18153    3.25382   42.54013
  81.30074    3.14407   41.10514
  81.41994    3.14228   41.08179
  81.53915    3.17505   41.50823
  81.65836    3.18925   41.69128
  81.77757    3.14226   41.07925
  81.89678    3.18107   41.58511
  82.01599    3.24482   42.41942
  82.13520    3.33616   43.61130
  82.25441    3.12628   40.86587
  82.37362    2.98255   38.98800
  82.49283    3.11268   40.69254
  82.61204    3.12789   40.89221
  82.73125    3.15107   41.19474
  82.85046    3.25029   42.49121
  82.96967    3.34446   43.71926
  83.08887    3.21393   42.01547
