R 50.00000
Frequency (MHz),RE[Z11],IM[Z11],RE[Z12],IM[Z12],RE[Z21],IM[Z21],RE[Z22],IM[Z22]
202.0000000000000,0.1769830055284,-2941.505610573,0.1769834412906,-2941.680359928,0.1769834412906,-2941.680359928,0.1769830047390,-2941.505610621
204.0000000000000,0.1744729197992,-2912.665183526,0.1744733580476,-2912.841662866,0.1744733580476,-2912.841662866,0.1744729190141,-2912.665183575
206.0000000000000,0.1720251957033,-2884.384769317,0.1720256362319,-2884.562978643,0.1720256362319,-2884.562978643,0.1720251949224,-2884.384769365
208.0000000000000,0.1696376627078,-2856.648212720,0.1696381053139,-2856.828152036,0.1696381053139,-2856.828152036,0.1696376619311,-2856.648212767
210.0000000000000,0.1673082469759,-2829.439973986,0.1673086914599,-2829.621643293,0.1673086914598,-2829.621643293,0.1673082462033,-2829.439974032
212.0000000000000,0.1650349661355,-2802.745099805,0.1650354123008,-2802.928499107,0.1650354123008,-2802.928499107,0.1650349653669,-2802.745099851
214.0000000000000,0.1628159241516,-2776.549195907,0.1628163718050,-2776.734325206,0.1628163718050,-2776.734325206,0.1628159233871,-2776.549195952
216.0000000000000,0.1606493070802,-2750.838401171,0.1606497560315,-2751.025260470,0.1606497560315,-2751.025260470,0.1606493063197,-2750.838401216
218.0000000000000,0.1585333786466,-2725.599363175,0.1585338287088,-2725.787952476,0.1585338287087,-2725.787952476,0.1585333778901,-2725.599363219
220.0000000000000,0.1564664761718,-2700.819215065,0.1564669271607,-2701.009534371,0.1564669271607,-2701.009534371,0.1564664754192,-2700.819215109
222.0000000000000,0.1544470067903,-2676.485553687,0.1544474585251,-2676.677603001,0.1544474585251,-2676.677603001,0.1544470060417,-2676.485553731
224.0000000000000,0.1524734440341,-2652.586418882,0.1524738963368,-2652.780198206,0.1524738963368,-2652.780198206,0.1524734432893,-2652.586418925
226.0000000000000,0.1505443242191,-2629.110273883,0.1505447769148,-2629.305783219,0.1505447769148,-2629.305783219,0.1505443234781,-2629.110273925
228.0000000000000,0.1486582436316,-2606.045986745,0.1486586965485,-2606.243226097,0.1486586965485,-2606.243226097,0.1486582428945,-2606.045986787
230.0000000000000,0.1468138552613,-2583.382812743,0.1468143082303,-2583.581782113,0.1468143082303,-2583.581782113,0.1468138545279,-2583.382812785
232.0000000000000,0.1450098661874,-2561.110377682,0.1450103190427,-2561.311077072,0.1450103190427,-2561.311077072,0.1450098654578,-2561.110377723
234.0000000000000,0.1432450348553,-2539.218662057,0.1432454874339,-2539.421091470,0.1432454874339,-2539.421091470,0.1432450341294,-2539.218662098
236.0000000000000,0.1415181686858,-2517.697986029,0.1415186208276,-2517.902145467,0.1415186208276,-2517.902145467,0.1415181679636,-2517.697986069
238.0000000000000,0.1398281217181,-2496.538995147,0.1398285732659,-2496.744884613,0.1398285732659,-2496.744884613,0.1398281209995,-2496.538995187
240.0000000000000,0.1381737922652,-2475.732646794,0.1381742430647,-2475.940266291,0.1381742430647,-2475.940266291,0.1381737915502,-2475.732646833
242.0000000000000,0.1365541210718,-2455.270197297,0.1365545709717,-2455.479546827,0.1365545709717,-2455.479546827,0.1365541203605,-2455.270197336
244.0000000000000,0.1349680890055,-2435.143189676,0.1349685378572,-2435.354269243,0.1349685378572,-2435.354269243,0.1349680882978,-2435.143189715
246.0000000000000,0.1334147155741,-2415.343441992,0.1334151632319,-2415.556251597,0.1334151632319,-2415.556251597,0.1334147148699,-2415.343442030
248.0000000000000,0.1318930568776,-2395.863036249,0.1318935031987,-2396.077575895,0.1318935031987,-2396.077575895,0.1318930561770,-2395.863036287
250.0000000000000,0.1304022040917,-2376.694307843,0.1304026489360,-2376.910577533,0.1304026489360,-2376.910577533,0.1304022033947,-2376.694307881
252.0000000000000,0.1289412817312,-2357.829835503,0.1289417249612,-2358.047835239,0.1289417249612,-2358.047835239,0.1289412810376,-2357.829835540
254.0000000000000,0.1275094464413,-2339.262431709,0.1275098879225,-2339.482161494,0.1275098879225,-2339.482161494,0.1275094457511,-2339.262431746
256.0000000000000,0.1261058852066,-2320.985133566,0.1261063248073,-2321.206593402,0.1261063248073,-2321.206593402,0.1261058845199,-2320.985133602
258.0000000000000,0.1247298142822,-2302.991194089,0.1247302518733,-2303.214383979,0.1247302518733,-2303.214383979,0.1247298135990,-2302.991194125
260.0000000000000,0.1233804778821,-2285.274073906,0.1233809133371,-2285.498993853,0.1233809133370,-2285.498993853,0.1233804772022,-2285.274073942
262.0000000000000,0.1220571468147,-2267.827433330,0.1220575800099,-2268.054083336,0.1220575800099,-2268.054083336,0.1220571461383,-2267.827433365
264.0000000000000,0.1207591175526,-2250.645124794,0.1207595483670,-2250.873504862,0.1207595483670,-2250.873504862,0.1207591168795,-2250.645124829
266.0000000000000,0.1194857109089,-2233.721185630,0.1194861392241,-2233.951295762,0.1194861392241,-2233.951295762,0.1194857102392,-2233.721185665
268.0000000000000,0.1182362712624,-2217.049831169,0.1182366969626,-2217.281671369,0.1182366969626,-2217.281671369,0.1182362705960,-2217.049831204
270.0000000000000,0.1170101653446,-2200.625448148,0.1170105883168,-2200.859018417,0.1170105883168,-2200.859018417,0.1170101646816,-2200.625448183
272.0000000000000,0.1158067814711,-2184.442588407,0.1158072016046,-2184.677888748,0.1158072016045,-2184.677888748,0.1158067808113,-2184.442588441
274.0000000000000,0.1146255284611,-2168.495962865,0.1146259456479,-2168.732993280,0.1146259456479,-2168.732993280,0.1146255278046,-2168.495962898
276.0000000000000,0.1134658350186,-2152.780435752,0.1134662491533,-2153.019196245,0.1134662491533,-2153.019196245,0.1134658343654,-2152.780435786
278.0000000000000,0.1123271487210,-2137.291019102,0.1123275597006,-2137.531509674,0.1123275597006,-2137.531509674,0.1123271480710,-2137.291019135
280.0000000000000,0.1112089355156,-2122.022867464,0.1112093432398,-2122.265088118,0.1112093432398,-2122.265088118,0.1112089348688,-2122.022867496
282.0000000000000,0.1101106786019,-2106.971272855,0.1101110829729,-2107.215223595,0.1101110829729,-2107.215223595,0.1101106779583,-2106.971272887
284.0000000000000,0.1090318781293,-2092.131659918,0.1090322790515,-2092.377340745,0.1090322790515,-2092.377340745,0.1090318774889,-2092.131659950
286.0000000000000,0.1079720502242,-2077.499581282,0.1079724476048,-2077.746992200,0.1079724476048,-2077.746992200,0.1079720495870,-2077.499581314
288.0000000000000,0.1069307266427,-2063.070713122,0.1069311203911,-2063.319854132,0.1069311203911,-2063.319854132,0.1069307260086,-2063.070713154
290.0000000000000,0.1059074538430,-2048.840850895,0.1059078438712,-2049.091722000,0.1059078438712,-2049.091722000,0.1059074532121,-2048.840850926
292.0000000000000,0.1049017926983,-2034.805905254,0.1049021789206,-2035.058506457,0.1049021789205,-2035.058506457,0.1049017920705,-2034.805905285
294.0000000000000,0.1039133178742,-2020.961898136,0.1039137002072,-2021.216229440,0.1039137002073,-2021.216229440,0.1039133172496,-2020.961898167
