 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: coupcap_and_feedline_tjunctioncpw
 Data is De-embedded 
 Data File Written: 03/04/2020 11:31:05
Project Date: 03/02/2020 11:11:36
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33]
250.0000000000000,-1.767641031e-5,-0.217941184481,1.7744364101e-5,0.2191092685319,8.8820029844e-8,-2.121697518e-4,1.7744364101e-5,0.2191092685319,-1.781124028e-5,-0.217976820835,-8.843281397e-8,-1.797037296e-4,8.8820029844e-8,-2.121697518e-4,-8.843281397e-8,-1.797037296e-4,-4.30454923e-10,4.1684465008e-4
255.0000000000000,-1.642929003e-5,-0.213613358864,1.6493854366e-5,0.2148048632473,8.4504298523e-8,-2.164330801e-4,1.6493854366e-5,0.2148048632473,-1.655730134e-5,-0.213649718650,-8.412022764e-8,-1.833077913e-4,8.4504298523e-8,-2.164330801e-4,-8.412022764e-8,-1.833077913e-4,-3.93450705e-10,4.2519290112e-4
260.0000000000000,-1.522841638e-5,-0.209452662694,1.5289573490e-5,0.2106675907245,8.0147362274e-8,-2.206973357e-4,1.5289573490e-5,0.2106675907245,-1.534957404e-5,-0.209489746195,-7.976880327e-8,-1.869127083e-4,8.0147362273e-8,-2.206973357e-4,-7.976880327e-8,-1.869127083e-4,-3.56205999e-10,4.3354183539e-4
265.0000000000000,-1.407386924e-5,-0.205449562270,1.4131612306e-5,0.2066879173204,7.5763462440e-8,-2.249625281e-4,1.4131612306e-5,0.2066879173204,-1.418816027e-5,-0.205487369756,-7.539282895e-8,-1.905185062e-4,7.5763462440e-8,-2.249625281e-4,-7.539282895e-8,-1.905185062e-4,-3.18882089e-10,4.4189146763e-4
270.0000000000000,-1.296547513e-5,-0.201595235455,1.3019807342e-5,0.2028570209538,7.1365675337e-8,-2.292286675e-4,1.3019807342e-5,0.2028570209538,-1.307290665e-5,-0.201633767182,-7.100541971e-8,-1.941252100e-4,7.1365675337e-8,-2.292286675e-4,-7.100541971e-8,-1.941252100e-4,-2.81626895e-10,4.5024181258e-4
275.0000000000000,-1.190285263e-5,-0.197881506503,1.1953786322e-5,0.1991667259364,6.6966016781e-8,-2.334957650e-4,1.1953786322e-5,0.1991667259364,-1.200345010e-5,-0.197920762717,-6.661862203e-8,-1.977328438e-4,6.6966016781e-8,-2.334957650e-4,-6.661862203e-8,-1.977328438e-4,-2.44575553e-10,4.5859288493e-4
280.0000000000000,-1.088545062e-5,-0.194300787924,1.0933006438e-5,0.1956094448370,6.2575535571e-8,-2.377638326e-4,1.0933006438e-5,0.1956094448370,-1.097925623e-5,-0.194340768861,-6.224350732e-8,-2.013414309e-4,6.2575535571e-8,-2.377638326e-4,-6.224350732e-8,-2.013414309e-4,-2.07850917e-10,4.6694469936e-4
285.0000000000000,-9.912580326e-6,-0.190846028514,9.9567865326e-6,0.1921781265098,5.8204396923e-8,-2.420328828e-4,9.9567865326e-6,0.1921781265098,-9.999651541e-6,-0.190886734400,-5.789025542e-8,-2.049509937e-4,5.8204396923e-8,-2.420328828e-4,-5.789025542e-8,-2.049509937e-4,-1.71564094e-10,4.7529727055e-4
290.0000000000000,-8.983442371e-6,-0.187510666795,9.0243341686e-6,0.1888662095364,5.3861957378e-8,-2.463029289e-4,9.0243341686e-6,0.1888662095364,-9.063850586e-6,-0.187552097847,-5.356822946e-8,-2.085615544e-4,5.3861957378e-8,-2.463029289e-4,-5.356822946e-8,-2.085615544e-4,-1.35814979e-10,4.8365061312e-4
295.0000000000000,-8.097149555e-6,-0.184288589227,8.1347684743e-6,0.1856675804356,4.9556832027e-8,-2.505739849e-4,8.1347684743e-6,0.1856675804356,-8.170978872e-6,-0.184330745656,-4.928604317e-8,-2.121731343e-4,4.9556832027e-8,-2.505739849e-4,-4.928604317e-8,-2.121731343e-4,-1.00692739e-10,4.9200474170e-4
300.0000000000000,-7.252745974e-6,-0.181174092623,7.2871393152e-6,0.1825765360806,4.5296955046e-8,-2.548460650e-4,7.2871393152e-6,0.1825765360806,-7.320092074e-6,-0.181216974631,-4.505162141e-8,-2.157857542e-4,4.5296955046e-8,-2.548460650e-4,-4.505162141e-8,-2.157857542e-4,-6.62763636e-11,5.0035967089e-4
305.0000000000000,-6.449223159e-6,-0.178161850289,6.4804434803e-6,0.1795877498382,4.1089634246e-8,-2.591191841e-4,6.4804434803e-6,0.1795877498382,-6.510192268e-6,-0.178205458074,-4.087225477e-8,-2.193994346e-4,4.1089634245e-8,-2.591191841e-4,-4.087225477e-8,-2.193994346e-4,-3.26350910e-11,5.0871541528e-4
310.0000000000000,-5.685533627e-6,-0.175246881462,5.7136382691e-6,0.1766962410057,3.6941600355e-8,-2.633933576e-4,5.7136382691e-6,0.1766962410057,-5.740241564e-6,-0.175291215214,-3.675464890e-8,-2.230141955e-4,3.6941600355e-8,-2.633933576e-4,-3.675464890e-8,-2.230141955e-4,1.710260695e-13,5.1707198941e-4
315.0000000000000,-4.960602283e-6,-0.172424523676,4.9856529325e-6,0.1738973471778,3.2859051643e-8,-2.676686012e-4,4.9856529325e-6,0.1738973471778,-5.009173577e-6,-0.172469583582,-3.270496916e-8,-2.266300564e-4,3.2859051643e-8,-2.676686012e-4,-3.270496916e-8,-2.266300564e-4,3.209066528e-11,5.2542940785e-4
320.0000000000000,-4.273335958e-6,-0.169690407735,4.2953982482e-6,0.1711866992208,2.8847694331e-8,-2.719449310e-4,4.2953982482e-6,0.1711866992208,-4.315903044e-6,-0.169736193977,-2.872888114e-8,-2.302470365e-4,2.8847694331e-8,-2.719449310e-4,-2.872888114e-8,-2.302470365e-4,6.308078322e-11,5.3378768510e-4
325.0000000000000,-3.622631431e-6,-0.167040435016,3.6417745662e-6,0.1685601985714,2.4912779328e-8,-2.762223636e-4,3.6417745662e-6,0.1685601985714,-3.659333892e-6,-0.167086947770,-2.483158738e-8,-2.338651548e-4,2.4912779327e-8,-2.762223636e-4,-2.483158738e-8,-2.338651548e-4,9.310610686e-11,5.4214683569e-4
330.0000000000000,-3.007382100e-6,-0.164470756837,3.0236785104e-6,0.1660139966116,2.1059135611e-8,-2.805009156e-4,3.0236785104e-6,0.1660139966116,-3.038365975e-6,-0.164517996278,-2.101786087e-8,-2.374844299e-4,2.1059135611e-8,-2.805009156e-4,-2.101786087e-8,-2.374844299e-4,1.221386953e-10,5.5050687409e-4
335.0000000000000,-2.426483550e-6,-0.161977755698,2.4400085778e-6,0.1635444759024,1.7291200638e-8,-2.847806042e-4,2.4400085778e-6,0.1635444759024,-2.451900693e-6,-0.162025721997,-1.729207552e-8,-2.411048800e-4,1.7291200638e-8,-2.847806042e-4,-1.729207552e-8,-2.411048800e-4,1.501574701e-10,5.5886781478e-4
340.0000000000000,-1.878838168e-6,-0.159558028176,1.8896697636e-6,0.1611482330833,1.3613048117e-8,-2.890614467e-4,1.8896697636e-6,0.1611482330833,-1.898845643e-6,-0.159606721501,-1.365823399e-8,-2.447265232e-4,1.3613048117e-8,-2.890614467e-4,-1.365823399e-8,-2.447265232e-4,1.771477872e-10,5.6722967222e-4
345.0000000000000,-1.363358945e-6,-0.157208369321,1.3715773977e-6,0.1588220632671,1.0028413352e-8,-2.933434608e-4,1.3715773977e-6,0.1588220632671,-1.378118477e-6,-0.157257789838,-1.011999311e-8,-2.483493774e-4,1.0028413352e-8,-2.933434608e-4,-1.011999311e-8,-2.483493774e-4,2.031009898e-10,5.7559246084e-4
350.0000000000000,-8.789725957e-7,-0.154925758397,8.8466027449e-7,0.1565629457806,6.5407164354e-9,-2.976266643e-4,8.8466027450e-7,0.1565629457806,-8.886500485e-7,-0.154975906270,-6.680687221e-9,-2.519734602e-4,6.5407164354e-9,-2.976266643e-4,-6.680687221e-9,-2.519734602e-4,2.280139687e-10,5.8395619507e-4
355.0000000000000,-4.246220959e-7,-0.152707345835,4.2786321080e-7,0.1543680311170,3.1530835473e-9,-3.019110752e-4,4.2786321080e-7,0.1543680311170,-4.293869906e-7,-0.152758221225,-3.343349458e-9,-2.555987890e-4,3.1530835467e-9,-3.019110752e-4,-3.343349457e-9,-2.555987890e-4,2.518887642e-10,5.9232088932e-4
360.0000000000000,7.346456029e-10,-0.150550441276,1.458455870e-10,0.1522346289803,-1.31486967e-10,-3.061967116e-4,1.459190273e-10,0.1522346289804,7.093504695e-10,-0.150602044342,-1.10873153e-10,-2.592253814e-4,-1.31459919e-10,-3.061967116e-4,-1.10811380e-10,-2.592253814e-4,2.747306733e-10,6.0068655797e-4
365.0000000000000,3.9810634547e-7,-0.148452502611,-3.994994639e-7,0.1501601973273,-3.310839696e-9,-3.104835927e-4,-3.994994639e-7,0.1501601973273,4.0264559851e-7,-0.148504833516,3.0146789152e-9,-2.628532538e-4,-3.310839696e-9,-3.104835927e-4,3.0146789149e-9,-2.628532538e-4,2.965551278e-10,6.0905321542e-4
370.0000000000000,7.6850073155e-7,-0.146411125900,-7.720788943e-7,0.1481423322795,-6.382179571e-9,-3.147717363e-4,-7.720788943e-7,0.1481423322795,7.7742639684e-7,-0.146464184802,6.0306404022e-9,-2.664824238e-4,-6.382179570e-9,-3.147717363e-4,6.0306404014e-9,-2.664824238e-4,3.173727562e-10,6.1742087601e-4
