 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: Cap_305MHz_with_boundary_and_coupcaps
 Data is De-embedded 
 Data File Written: 04/20/2020 22:48:30
Project Date: 04/20/2020 15:45:28
R 50.00000
Frequency (MHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S13],IM[S13],RE[S14],IM[S14],RE[S21],IM[S21],RE[S22],IM[S22],RE[S23],IM[S23],RE[S24],IM[S24],RE[S31],IM[S31],RE[S32],IM[S32],RE[S33],IM[S33],RE[S34],IM[S34],RE[S41],IM[S41],RE[S42],IM[S42],RE[S43],IM[S43],RE[S44],IM[S44]
ILD_thickness = 0.3
ILD_dielectric_const = 3.9
140.0000000000000,0.3045179818730,-0.479936132979,0.6956299150294,0.4263043181305,0.0027917351115,0.0074618389509,0.0027310640303,0.0075568322920,0.6956299150294,0.4263043181305,0.3057558647255,-0.479376026335,-2.197137055e-3,0.0044316248775,-2.144370479e-3,0.0043385911364,0.0027917351115,0.0074618389509,-2.197137055e-3,0.0044316248775,-2.833951578e-4,-7.207577038e-3,0.9993835317991,-0.033074037768,0.0027310640303,0.0075568322920,-2.144370479e-3,0.0043385911364,0.9993835317991,-0.033074037768,-2.811115476e-4,-7.208447171e-3
145.0000000000000,0.2893004223168,-0.473861250745,0.7105961159622,0.4183345564546,0.0028662155141,0.0076431226468,0.0028041364027,0.0077436417723,0.7105961159622,0.4183345564546,0.2905694287374,-0.473328248131,-2.227778007e-3,0.0046743563704,-2.174248346e-3,0.0045758384110,0.0028662155141,0.0076431226468,-2.227778007e-3,0.0046743563704,-3.034662533e-4,-7.462068640e-3,0.9993391114599,-0.034256689551,0.0028041364027,0.0077436417723,-2.174248346e-3,0.0045758384110,0.9993391114599,-0.034256689551,-3.010397198e-4,-7.462995004e-3
150.0000000000000,0.2748692155681,-0.467642303739,0.7247533134236,0.4102626994846,0.0029390710409,0.0078238197470,0.0028755772040,0.0079299556132,0.7247533134236,0.4102626994846,0.2761636644963,-0.467137499285,-2.255903126e-3,0.0049170869825,-2.201648416e-3,0.0048129778834,0.0029390710409,0.0078238197470,-2.255903126e-3,0.0049170869825,-3.242309638e-4,-7.716552135e-3,0.9992931361847,-0.035439262738,0.0028755772040,0.0079299556132,-2.201648416e-3,0.0048129778834,0.9992931361847,-0.035439262738,-3.216556438e-4,-7.717535545e-3
155.0000000000000,0.2611794242231,-0.461313431872,0.7381557154866,0.4021172389257,0.0030103798138,0.0080040346904,0.0029454767636,0.0081158721991,0.7381557154866,0.4021172389257,0.2624942549256,-0.460837241228,-2.281594193e-3,0.0051597803493,-2.226661604e-3,0.0050499835684,0.0030103798138,0.0080040346904,-2.281594193e-3,0.0051597803493,-3.456894097e-4,-7.971025906e-3,0.9992456061359,-0.036621755765,0.0029454767636,0.0081158721991,-2.226661604e-3,0.0050499835684,0.9992456061359,-0.036621755765,-3.429595376e-4,-7.972067241e-3
160.0000000000000,0.2481889377601,-0.454904181122,0.7508524644674,0.3939223033338,0.0030802210314,0.0081838630301,0.0030139246289,0.0083014808739,0.7508524644674,0.3939223033338,0.2495196896269,-0.454456487177,-2.304927494e-3,0.0054024056602,-2.249371746e-3,0.0052868344717,0.0030802210314,0.0081838630301,-2.304927494e-3,0.0054024056602,-3.678417105e-4,-8.225488343e-3,0.9991965214712,-0.037804167070,0.0030139246289,0.0083014808739,-2.249371746e-3,0.0052868344717,0.9991965214712,-0.037804167070,-3.649516142e-4,-8.226588540e-3
165.0000000000000,0.2358583142176,-0.448440160392,0.7628882483530,0.3856984478863,0.0031486743322,0.0083633918794,0.0030810091357,0.0084868625216,0.7628882483530,0.3856984478863,0.2372010961532,-0.448020436039,-2.325974121e-3,0.0056449367701,-2.269856101e-3,0.0055235136797,0.0031486743322,0.0083633918794,-2.325974121e-3,0.0056449367701,-3.906879844e-4,-8.479937836e-3,0.9991458823436,-0.038986495081,0.0030810091357,0.0084868625216,-2.269856101e-3,0.0055235136797,0.9991458823436,-0.038986495081,-3.876320822e-4,-8.481097891e-3
170.0000000000000,0.2241506137902,-0.441943593143,0.7743038360221,0.3774632756845,0.0032158192482,0.0085427003777,0.0031468170504,0.0086720901355,0.7743038360221,0.3774632756845,0.2255020670184,-0.441551003879,-2.344800295e-3,0.0058873514423,-2.288185857e-3,0.0057600075921,0.0032158192482,0.0085427003777,-2.344800295e-3,0.0058873514423,-4.142283490e-4,-8.734372776e-3,0.9990936889015,-0.040168738225,0.0031468170504,0.0086720901355,-2.288185857e-3,0.0057600075921,0.9990936889015,-0.040168738225,-4.110011457e-4,-8.735593744e-3
175.0000000000000,0.2130312320098,-0.435433781558,0.7851365425856,0.3692319294562,0.0032817347388,0.0087218601625,0.0032114332761,0.0088572293702,0.7851365425856,0.3692319294562,0.2143884891501,-0.435067270547,-2.361467701e-3,0.0061296307042,-2.304426612e-3,0.0059963052786,0.0032817347388,0.0087218601625,-2.361467701e-3,0.0061296307042,-4.384629209e-4,-8.988791560e-3,0.9990399412887,-0.041350894926,0.0032114332761,0.0088572293702,-2.304426612e-3,0.0059963052786,0.9990399412887,-0.041350894926,-4.350590045e-4,-8.990074548e-3
180.0000000000000,0.2024677374672,-0.428927498072,0.7954206322435,0.3610174832891,0.0033464987982,0.0089009358415,0.0032749406159,0.0090423390743,0.7954206322435,0.3610174832891,0.2038283799938,-0.428585856070,-2.376033826e-3,0.0063717583025,-2.318638859e-3,0.0062323979422,0.0033464987982,0.0089009358415,-2.376033826e-3,0.0063717583025,-4.633918159e-4,-9.243192584e-3,0.9989846396443,-0.042532963602,0.0032749406159,0.0090423390743,-2.318638859e-3,0.0062323979422,0.9989846396443,-0.042532963602,-4.598058539e-4,-9.244538755e-3
185.0000000000000,0.1924297171110,-0.422439316613,0.8051876662097,0.3528312569866,0.0034101881271,0.0090799854573,0.0033374195853,0.0092274717982,0.8051876662097,0.3528312569866,0.1937917327237,-0.422121238943,-2.388552278e-3,0.0066137202436,-2.330878430e-3,0.0064682784738,0.0034101881271,0.0090799854573,-2.388552278e-3,0.0066137202436,-4.890151488e-4,-9.497574249e-3,0.9989277841028,-0.043714942667,0.0033374195853,0.0092274717982,-2.330878430e-3,0.0064682784738,0.9989277841028,-0.043714942667,-4.852418852e-4,-9.498984815e-3
