R 50.00000
Frequency (MHz),RE[Z11],IM[Z11],RE[Z12],IM[Z12],RE[Z21],IM[Z21],RE[Z22],IM[Z22]
175.0000000000000,6.0649774550807,-2182.733502648,6.0650542248241,-2182.992726439,6.0650542248241,-2182.992726439,6.0650132229421,-2182.761117976
177.5000000000000,5.9457820908611,-2151.997831281,5.9458571943650,-2152.260702704,5.9458571943650,-2152.260702704,5.9458186644576,-2152.025848075
180.0000000000000,5.8307057714142,-2122.115398498,5.8307792334801,-2122.381918087,5.8307792334801,-2122.381918087,5.8307431481308,-2122.143816692
182.5000000000000,5.7195477844000,-2093.051158517,5.7196196296931,-2093.321326802,5.7196196296931,-2093.321326802,5.7195859615820,-2093.079978042
185.0000000000000,5.6121199347812,-2064.771958915,5.6121901878297,-2065.045776424,5.6121901878297,-2065.045776424,5.6121589097338,-2064.801179705
187.5000000000000,5.5082456008408,-2037.246414477,5.5083142860358,-2037.523881735,5.5083142860358,-2037.523881735,5.5082853708295,-2037.276036466
190.0000000000000,5.4077588730004,-2010.444790989,5.4078260145956,-2010.725908518,5.4078260145956,-2010.725908518,5.4077994352515,-2010.474814112
192.5000000000000,5.3105037676582,-1984.338898086,5.3105693897695,-1984.623666405,5.3105693897695,-1984.623666405,5.3105451193587,-1984.369322276
195.0000000000000,5.2163335081595,-1958.901990336,5.2163976347647,-1959.190409961,5.2163976347647,-1959.190409961,5.2163756464573,-1958.932815529
197.5000000000000,5.1251098667381,-1934.108675834,5.1251725216770,-1934.400747278,5.1251725216769,-1934.400747278,5.1251527887426,-1934.139901965
200.0000000000000,5.0367025613223,-1909.934831650,5.0367637682960,-1910.230555423,5.0367637682960,-1910.230555423,5.0367462641045,-1909.966458654
202.5000000000000,4.9509887020636,-1886.357525533,4.9510484846346,-1886.656902143,4.9510484846346,-1886.656902143,4.9510331826567,-1886.389553347
205.0000000000000,4.8678522829055,-1863.354943344,4.8679106644974,-1863.657973295,4.8679106644974,-1863.657973295,4.8678975383051,-1863.387371904
207.5000000000000,4.7871837139891,-1840.906321733,4.7872407178863,-1841.213005526,4.7872407178863,-1841.213005526,4.7872297411534,-1840.939150975
210.0000000000000,4.7088793912927,-1818.991885617,4.7089350406404,-1819.302223751,4.7089350406403,-1819.302223751,4.7089261871433,-1819.025115480
212.5000000000000,4.6328412999185,-1797.592790080,4.6328956177223,-1797.906783051,4.6328956177223,-1797.906783051,4.6328888613406,-1797.626420501
215.0000000000000,4.5589766481608,-1776.691066313,4.5590296572867,-1777.008714614,4.5590296572867,-1777.008714614,4.5590249720037,-1776.725097229
217.5000000000000,4.4871975296384,-1756.269571288,4.4872492528127,-1756.590875408,4.4872492528127,-1756.590875408,4.4872466127160,-1756.304002638
220.0000000000000,4.4174206110019,-1736.311940857,4.4174710708107,-1736.636901284,4.4174710708107,-1736.636901284,4.4174704500930,-1736.346772580
222.5000000000000,4.3495668428784,-1716.802546019,4.3496160617679,-1717.131163236,4.3496160617679,-1717.131163236,4.3496174347275,-1716.837778054
225.0000000000000,4.2835611924312,-1697.726452091,4.2836091927074,-1698.058726580,4.2836091927074,-1698.058726580,4.2836125337487,-1697.762084378
227.5000000000000,4.2193323952603,-1679.069380578,4.2193791990887,-1679.405312817,4.2193791990887,-1679.405312817,4.2193844827231,-1679.105413056
230.0000000000000,4.1568127253741,-1660.817673524,4.1568583547797,-1661.157263989,4.1568583547797,-1661.157263989,4.1568655556262,-1660.854106135
232.5000000000000,4.0959377815687,-1642.958260167,4.0959822584358,-1643.301509330,4.0959822584358,-1643.301509330,4.0959913512216,-1642.995092851
235.0000000000000,4.0366462888805,-1625.478625715,4.0366896349530,-1625.825534045,4.0366896349530,-1625.825534045,4.0367005945139,-1625.515858412
237.5000000000000,3.9788799140465,-1608.366782096,3.9789221509272,-1608.717350061,3.9789221509272,-1608.717350061,3.9789349522086,-1608.404414749
