 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: cap2gnd_10umfromedge
 Data is De-embedded 
 Data File Written: 01/25/2020 18:01:40
Project Date: 01/24/2020 17:33:00
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11]
gpwidth = 700.0
dist2capedge = 690.0
1235.000000000000,-8.44548496e-11,1.8907025915e-4
1240.000000000000,-8.68733632e-11,1.8983623516e-4
1245.000000000000,-8.92756930e-11,1.9060221573e-4
1250.000000000000,-9.16613615e-11,1.9136820085e-4
1255.000000000000,-9.40298986e-11,1.9213419053e-4
1260.000000000000,-9.63808269e-11,1.9290018477e-4
1265.000000000000,-9.87136687e-11,1.9366618357e-4
1270.000000000000,-1.01027955e-10,1.9443218694e-4
1275.000000000000,-1.03323201e-10,1.9519819488e-4
1280.000000000000,-1.05598937e-10,1.9596420740e-4
1285.000000000000,-1.07854684e-10,1.9673022449e-4
1290.000000000000,-1.10089961e-10,1.9749624617e-4
1295.000000000000,-1.12304293e-10,1.9826227243e-4
1300.000000000000,-1.14497199e-10,1.9902830328e-4
1305.000000000000,-1.16668200e-10,1.9979433872e-4
1310.000000000000,-1.18816816e-10,2.0056037876e-4
1315.000000000000,-1.20942568e-10,2.0132642339e-4
1320.000000000000,-1.23044972e-10,2.0209247263e-4
1325.000000000000,-1.25123550e-10,2.0285852647e-4
1330.000000000000,-1.27177817e-10,2.0362458492e-4
1335.000000000000,-1.29207293e-10,2.0439064798e-4
1340.000000000000,-1.31211493e-10,2.0515671566e-4
1345.000000000000,-1.33189933e-10,2.0592278795e-4
1350.000000000000,-1.35142132e-10,2.0668886487e-4
1355.000000000000,-1.37067600e-10,2.0745494641e-4
1360.000000000000,-1.38965857e-10,2.0822103258e-4
1365.000000000000,-1.40836416e-10,2.0898712339e-4
1370.000000000000,-1.42678789e-10,2.0975321883e-4
1375.000000000000,-1.44492490e-10,2.1051931891e-4
1380.000000000000,-1.46277034e-10,2.1128542363e-4
1385.000000000000,-1.48031930e-10,2.1205153300e-4
1390.000000000000,-1.49756690e-10,2.1281764701e-4
1395.000000000000,-1.51450827e-10,2.1358376568e-4
1400.000000000000,-1.53113852e-10,2.1434988901e-4
1405.000000000000,-1.54745273e-10,2.1511601699e-4
1410.000000000000,-1.56344601e-10,2.1588214964e-4
1415.000000000000,-1.57911345e-10,2.1664828695e-4
1420.000000000000,-1.59445013e-10,2.1741442893e-4
1425.000000000000,-1.60945114e-10,2.1818057559e-4
1430.000000000000,-1.62411156e-10,2.1894672692e-4
1435.000000000000,-1.63842644e-10,2.1971288293e-4
1440.000000000000,-1.65239084e-10,2.2047904363e-4
1445.000000000000,-1.66599985e-10,2.2124520901e-4
1450.000000000000,-1.67924854e-10,2.2201137908e-4
1455.000000000000,-1.69213189e-10,2.2277755384e-4
1460.000000000000,-1.70464498e-10,2.2354373330e-4
1465.000000000000,-1.71678287e-10,2.2430991747e-4
1470.000000000000,-1.72854058e-10,2.2507610633e-4
1475.000000000000,-1.73991313e-10,2.2584229990e-4
