 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: capacitortank_with_coupcaps_and_gp
 Data is De-embedded 
 Data File Written: 02/17/2020 22:11:13
Project Date: 02/08/2020 14:30:32
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y14],IM[Y14],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y24],IM[Y24],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33],RE[Y34],IM[Y34],RE[Y41],IM[Y41],RE[Y42],IM[Y42],RE[Y43],IM[Y43],RE[Y44],IM[Y44]
890.0000000000000,9.1996791171e-5,0.0020524959025,-2.421097178e-5,-1.393954396e-3,1.0381831967e-5,1.6676624121e-5,-4.374626656e-7,2.9255296560e-7,-2.421097174e-5,-1.393954396e-3,9.7317695205e-5,0.0255798940398,-7.462942650e-5,-0.023643701690,1.0031421030e-5,5.3223048055e-5,1.0381831893e-5,1.6676624104e-5,-7.462942648e-5,-0.023643701690,9.3462061999e-5,0.0256990687511,-2.703994313e-5,-1.465625251e-3,-4.374626374e-7,2.9255297689e-7,1.0031421038e-5,5.3223048060e-5,-2.703994314e-5,-1.465625251e-3,1.6663457123e-5,0.0023402452836
900.0000000000000,0.0017597210045,0.0014595087488,-9.954068112e-6,-1.503682810e-3,6.9028933275e-6,5.0403034641e-5,-6.727523551e-8,1.4398783609e-6,-9.954068134e-6,-1.503682810e-3,7.3651645978e-5,0.0269542267529,-5.730432802e-5,-0.024854844081,-6.695279352e-6,-6.932875051e-6,6.9028932939e-6,5.0403034682e-5,-5.730432808e-5,-0.024854844081,6.6114011443e-5,0.0268947235089,-1.051918047e-5,-1.461485491e-3,-6.727520565e-8,1.4398783314e-6,-6.695279350e-6,-6.932875013e-6,-1.051918046e-5,-1.461485491e-3,2.2345571594e-5,0.0024071832646
915.0000000000000,4.2122339206e-5,7.9868581393e-4,-3.290214993e-6,-1.567185573e-3,8.9844236545e-7,4.4834015738e-5,-2.917006717e-7,7.6437732148e-7,-3.290214997e-6,-1.567185573e-3,8.8790043403e-4,0.0285125257186,-9.336785840e-4,-0.026344573200,1.3617703293e-4,-7.556431233e-5,8.9844226797e-7,4.4834015945e-5,-9.336785841e-4,-0.026344573200,0.0010157213402,0.0283678325592,-1.663853722e-4,-1.313884845e-3,-2.917006652e-7,7.6437724906e-7,1.3617703299e-4,-7.556431238e-5,-1.663853723e-4,-1.313884845e-3,6.7410215930e-5,0.0023502086789
975.0000000000000,1.5794789644e-4,0.0018031896358,-1.587099123e-4,-2.154662071e-3,-3.183775360e-5,4.1167662129e-5,4.9331438540e-5,6.0899157325e-5,-1.587099123e-4,-2.154662071e-3,4.6733531002e-4,0.0341273167097,-3.974326254e-4,-0.031141883762,3.0796803147e-5,-7.898807283e-5,-3.183775361e-5,4.1167662335e-5,-3.974326254e-4,-0.031141883762,6.4907814727e-4,0.0333491781336,-1.506026966e-4,-1.708552744e-3,4.9331438588e-5,6.0899157300e-5,3.0796803144e-5,-7.898807282e-5,-1.506026966e-4,-1.708552744e-3,6.1710093859e-5,0.0027929835952
1075.000000000000,7.6276642493e-4,0.0025058502025,-4.753966592e-5,-3.030160782e-3,-7.247964424e-4,3.5595049546e-4,-1.587063389e-5,1.1717275566e-5,-4.753966601e-5,-3.030160782e-3,0.0011484224865,0.0532646904607,-1.094135079e-3,-0.049743992520,5.8894060598e-5,2.8528366052e-4,-7.247964424e-4,3.5595049549e-4,-1.094135080e-3,-0.049743992520,0.0018365634151,0.0528169245809,-5.192013084e-5,-2.698615426e-3,-1.587063392e-5,1.1717275583e-5,5.8894060604e-5,2.8528366052e-4,-5.192013091e-5,-2.698615426e-3,1.5043067662e-5,0.0035157925818
1085.000000000000,1.2716662687e-4,0.0031169156151,-1.504769968e-4,-3.541908207e-3,2.5721389379e-5,2.6622827879e-4,-7.295921494e-6,1.4253068873e-5,-1.504769967e-4,-3.541908207e-3,2.6567147941e-4,0.0572575186897,-1.177699693e-4,-0.053270153843,1.5550380481e-5,2.9546962833e-4,2.5721389348e-5,2.6622827878e-4,-1.177699694e-4,-0.053270153843,1.0584229025e-4,0.0566833806292,-1.644857339e-5,-2.905414629e-3,-7.295921472e-6,1.4253068885e-5,1.5550380464e-5,2.9546962832e-4,-1.644857339e-5,-2.905414629e-3,1.0618230643e-5,0.0037364707736
1095.000000000000,2.6702094152e-4,0.0037943113425,-2.497795242e-4,-4.280684178e-3,-1.637028450e-5,3.6687370931e-4,1.5507353256e-7,6.1333322912e-6,-2.497795242e-4,-4.280684178e-3,6.3403477031e-4,0.0624485807750,-3.819434860e-4,-0.057709988135,-6.849391759e-6,2.8967875841e-4,-1.637028451e-5,3.6687370928e-4,-3.819434865e-4,-0.057709988135,4.1513183398e-4,0.0610995807354,-2.974616363e-6,-2.941039181e-3,1.5507353760e-7,6.1333323662e-6,-6.849391745e-6,2.8967875843e-4,-2.974616411e-6,-2.941039181e-3,1.5623792886e-5,0.0037793547810
1105.000000000000,7.3110935516e-4,7.2771295075e-4,-8.583080389e-4,-5.137231124e-4,1.4309405133e-4,-1.393783848e-4,1.4398980489e-6,-4.700857322e-7,-8.583080388e-4,-5.137231123e-4,0.0012908130074,0.0673414100697,-4.606445533e-4,-0.066487700822,1.9049565134e-5,4.2730416819e-4,1.4309405124e-4,-1.393783849e-4,-4.606445533e-4,-0.066487700822,3.5814230881e-4,0.0707771114715,-3.429408647e-5,-3.327177485e-3,1.4398980480e-6,-4.700857390e-7,1.9049565137e-5,4.2730416822e-4,-3.429408647e-5,-3.327177485e-3,1.4256062852e-5,0.0040549013628
1110.000000000000,0.0037646617090,-3.296463448e-3,1.7122523744e-4,-3.039900998e-3,-7.439893103e-5,3.2112699367e-4,5.1351204240e-7,5.8767666034e-6,1.7122523734e-4,-3.039900998e-3,0.0011767345986,0.0816546887857,-1.173002493e-3,-0.078628742808,9.9717825988e-6,4.7323631576e-4,-7.439893104e-5,3.2112699365e-4,-1.173002493e-3,-0.078628742808,0.0012015127274,0.0827105886163,-1.519387192e-5,-3.455819780e-3,5.1351204681e-7,5.8767666120e-6,9.9717825751e-6,4.7323631575e-4,-1.519387191e-5,-3.455819780e-3,5.7125299020e-6,0.0041404367220
1125.000000000000,9.1041740990e-5,0.0024748724312,-2.365844679e-5,-3.371046054e-3,-4.489109848e-5,5.7292375627e-4,-2.359024963e-5,3.6669896835e-5,-2.365844677e-5,-3.371046054e-3,0.0010920431067,0.0621676879438,-1.404421765e-3,-0.058064848656,3.6287451700e-4,9.6690488989e-5,-4.489109849e-5,5.7292375627e-4,-1.404421765e-3,-0.058064848656,0.0020442046208,0.0611383230556,-6.314261881e-4,-2.860876023e-3,-2.359024960e-5,3.6669896824e-5,3.6287451701e-4,9.6690489002e-5,-6.314261882e-4,-2.860876023e-3,3.1159748037e-4,0.0038807927866
