 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: parasitic_capacitance_double_port_2000
 Data is De-embedded 
 Data File Written: 09/04/2017 15:46:40
Project Date: 09/04/2017 15:44:09
R 50.00000
Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
0.102000000000000,5.0781322553e-6,5.1245091222e-4,-1.908899577e-6,-2.086687586e-4,-1.908899577e-6,-2.086687586e-4,3.1473126240e-5,0.0031008458665
0.104000000000000,5.1130024368e-6,5.2249742849e-4,-1.923377169e-6,-2.127656496e-4,-1.923377169e-6,-2.127656496e-4,3.1710196889e-5,0.0031617367696
0.106000000000000,5.1477403846e-6,5.3254400122e-4,-1.937859438e-6,-2.168628527e-4,-1.937859438e-6,-2.168628527e-4,3.1947343652e-5,0.0032226328896
0.108000000000000,5.1823617249e-6,5.4259065073e-4,-1.952345611e-6,-2.209603747e-4,-1.952345611e-6,-2.209603747e-4,3.2184564201e-5,0.0032835343244
0.110000000000000,5.2168820724e-6,5.5263739646e-4,-1.966834968e-6,-2.250582224e-4,-1.966834968e-6,-2.250582224e-4,3.2421856297e-5,0.0033444411720
0.112000000000000,5.2513170052e-6,5.6268425708e-4,-1.981326837e-6,-2.291564025e-4,-1.981326837e-6,-2.291564025e-4,3.2659217799e-5,0.0034053535308
0.114000000000000,5.2856820412e-6,5.7273125039e-4,-1.995820593e-6,-2.332549218e-4,-1.995820593e-6,-2.332549218e-4,3.2896646666e-5,0.0034662714995
0.116000000000000,5.3199926159e-6,5.8277839341e-4,-2.010315659e-6,-2.373537870e-4,-2.010315659e-6,-2.373537870e-4,3.3134140950e-5,0.0035271951768
0.118000000000000,5.3542640566e-6,5.9282570236e-4,-2.024811504e-6,-2.414530051e-4,-2.024811504e-6,-2.414530051e-4,3.3371698822e-5,0.0035881246618
0.120000000000000,5.3885115635e-6,6.0287319267e-4,-2.039307642e-6,-2.455525827e-4,-2.039307642e-6,-2.455525827e-4,3.3609318549e-5,0.0036490600539
0.122000000000000,5.4227501865e-6,6.1292087900e-4,-2.053803633e-6,-2.496525268e-4,-2.053803633e-6,-2.496525268e-4,3.3846998512e-5,0.0037100014525
0.124000000000000,5.4569948048e-6,6.2296877524e-4,-2.068299079e-6,-2.537528442e-4,-2.068299079e-6,-2.537528442e-4,3.4084737204e-5,0.0037709489573
0.126000000000000,5.4912601063e-6,6.3301689454e-4,-2.082793624e-6,-2.578535416e-4,-2.082793624e-6,-2.578535416e-4,3.4322533227e-5,0.0038319026685
0.128000000000000,5.5255605686e-6,6.4306524931e-4,-2.097286953e-6,-2.619546260e-4,-2.097286953e-6,-2.619546260e-4,3.4560385300e-5,0.0038928626860
0.130000000000000,5.5599104398e-6,6.5311385125e-4,-2.111778791e-6,-2.660561041e-4,-2.111778791e-6,-2.660561041e-4,3.4798292257e-5,0.0039538291102
0.132000000000000,5.5943237202e-6,6.6316271134e-4,-2.126268902e-6,-2.701579829e-4,-2.126268902e-6,-2.701579829e-4,3.5036253044e-5,0.0040148020416
0.134000000000000,5.6288141451e-6,6.7321183988e-4,-2.140757087e-6,-2.742602691e-4,-2.140757087e-6,-2.742602691e-4,3.5274266726e-5,0.0040757815811
0.136000000000000,5.6633951676e-6,6.8326124647e-4,-2.155243181e-6,-2.783629696e-4,-2.155243181e-6,-2.783629696e-4,3.5512332483e-5,0.0041367678294
0.138000000000000,5.6980799426e-6,6.9331094007e-4,-2.169727057e-6,-2.824660912e-4,-2.169727057e-6,-2.824660912e-4,3.5750449608e-5,0.0041977608876
0.140000000000000,5.7328813114e-6,7.0336092899e-4,-2.184208617e-6,-2.865696408e-4,-2.184208617e-6,-2.865696408e-4,3.5988617514e-5,0.0042587608569
0.142000000000000,5.7678117867e-6,7.1341122091e-4,-2.198687800e-6,-2.906736251e-4,-2.198687800e-6,-2.906736251e-4,3.6226835722e-5,0.0043197678388
0.144000000000000,5.8028835388e-6,7.2346182289e-4,-2.213164569e-6,-2.947780509e-4,-2.213164569e-6,-2.947780509e-4,3.6465103872e-5,0.0043807819347
0.146000000000000,5.8381083819e-6,7.3351274140e-4,-2.227638922e-6,-2.988829251e-4,-2.227638922e-6,-2.988829251e-4,3.6703421713e-5,0.0044418032464
0.148000000000000,5.8734977613e-6,7.4356398231e-4,-2.242110881e-6,-3.029882544e-4,-2.242110881e-6,-3.029882544e-4,3.6941789106e-5,0.0045028318756
0.150000000000000,5.9090627419e-6,7.5361555096e-4,-2.256580496e-6,-3.070940457e-4,-2.256580496e-6,-3.070940457e-4,3.7180206021e-5,0.0045638679243
0.152000000000000,5.9448139960e-6,7.6366745211e-4,-2.271047839e-6,-3.112003056e-4,-2.271047839e-6,-3.112003056e-4,3.7418672536e-5,0.0046249114946
0.154000000000000,5.9807617930e-6,7.7371969001e-4,-2.285513010e-6,-3.153070410e-4,-2.285513010e-6,-3.153070410e-4,3.7657188834e-5,0.0046859626887
0.156000000000000,6.0169159895e-6,7.8377226838e-4,-2.299976126e-6,-3.194142585e-4,-2.299976126e-6,-3.194142585e-4,3.7895755203e-5,0.0047470216090
0.158000000000000,6.0532860194e-6,7.9382519046e-4,-2.314437330e-6,-3.235219649e-4,-2.314437330e-6,-3.235219649e-4,3.8134372031e-5,0.0048080883578
0.160000000000000,6.0898808854e-6,8.0387845900e-4,-2.328896780e-6,-3.276301669e-4,-2.328896780e-6,-3.276301669e-4,3.8373039806e-5,0.0048691630378
0.162000000000000,6.1267091506e-6,8.1393207628e-4,-2.343354655e-6,-3.317388712e-4,-2.343354655e-6,-3.317388712e-4,3.8611759114e-5,0.0049302457516
0.164000000000000,6.1637789312e-6,8.2398604415e-4,-2.357811149e-6,-3.358480846e-4,-2.357811149e-6,-3.358480846e-4,3.8850530632e-5,0.0049913366019
0.166000000000000,6.2010978895e-6,8.3404036403e-4,-2.372266472e-6,-3.399578135e-4,-2.372266472e-6,-3.399578135e-4,3.9089355133e-5,0.0050524356917
0.168000000000000,6.2386732273e-6,8.4409503693e-4,-2.386720849e-6,-3.440680648e-4,-2.386720849e-6,-3.440680648e-4,3.9328233474e-5,0.0051135431240
0.170000000000000,6.2765116802e-6,8.5415006344e-4,-2.401174517e-6,-3.481788450e-4,-2.401174517e-6,-3.481788450e-4,3.9567166603e-5,0.0051746590017
0.172000000000000,6.3146195126e-6,8.6420544381e-4,-2.415627727e-6,-3.522901608e-4,-2.415627727e-6,-3.522901608e-4,3.9806155546e-5,0.0052357834280
