 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: parasitic_capacitance_double_port_2000
 Data is De-embedded 
 Data File Written: 09/04/2017 11:26:11
Project Date: 09/04/2017 11:14:50
R 50.00000
Frequency (GHz),RE[Y11],IM[Y11]
0.200000000000000,5.9981899331e-6,8.6158062044e-4
0.202000000000000,6.0310193013e-6,8.7020114142e-4
0.204000000000000,6.0638500724e-6,8.7882180399e-4
0.206000000000000,6.0966822576e-6,8.8744260960e-4
0.208000000000000,6.1295158685e-6,8.9606355965e-4
0.210000000000000,6.1623509162e-6,9.0468465558e-4
0.212000000000000,6.1951874122e-6,9.1330589881e-4
0.214000000000000,6.2280253678e-6,9.2192729078e-4
0.216000000000000,6.2608647944e-6,9.3054883290e-4
0.218000000000000,6.2937057034e-6,9.3917052659e-4
0.220000000000000,6.3265481060e-6,9.4779237330e-4
0.222000000000000,6.3593920137e-6,9.5641437443e-4
0.224000000000000,6.3922374378e-6,9.6503653143e-4
0.226000000000000,6.4250843897e-6,9.7365884571e-4
0.228000000000000,6.4579328807e-6,9.8228131870e-4
0.230000000000000,6.4907829222e-6,9.9090395183e-4
0.232000000000000,6.5236345256e-6,9.9952674652e-4
0.234000000000000,6.5564877022e-6,0.0010081497042
0.236000000000000,6.5893424634e-6,0.0010167728263
0.238000000000000,6.6221988206e-6,0.0010253961143
0.240000000000000,6.6550567852e-6,0.0010340195695
0.242000000000000,6.6879163684e-6,0.0010426431934
0.244000000000000,6.7207775818e-6,0.0010512669874
0.246000000000000,6.7536404366e-6,0.0010598909530
0.248000000000000,6.7865049442e-6,0.0010685150916
0.250000000000000,6.8193711167e-6,0.0010771394046
0.252000000000000,6.8522389636e-6,0.0010857638934
0.254000000000000,6.8851084980e-6,0.0010943885595
0.256000000000000,6.9179797308e-6,0.0011030134043
0.258000000000000,6.9508526734e-6,0.0011116384292
0.260000000000000,6.9837273371e-6,0.0011202636356
0.262000000000000,7.0166037332e-6,0.0011288890250
0.264000000000000,7.0494818733e-6,0.0011375145988
0.266000000000000,7.0823617687e-6,0.0011461403585
0.268000000000000,7.1152434307e-6,0.0011547663054
0.270000000000000,7.1481268709e-6,0.0011633924410
0.272000000000000,7.1810121004e-6,0.0011720187667
0.274000000000000,7.2138991309e-6,0.0011806452839
0.276000000000000,7.2467879736e-6,0.0011892719942
0.278000000000000,7.2796786399e-6,0.0011978988988
0.280000000000000,7.3125711413e-6,0.0012065259993
0.282000000000000,7.3454654892e-6,0.0012151532970
0.284000000000000,7.3783616948e-6,0.0012237807934
0.286000000000000,7.4112597698e-6,0.0012324084899
0.288000000000000,7.4441597254e-6,0.0012410363880
0.290000000000000,7.4770615731e-6,0.0012496644891
0.292000000000000,7.5099653242e-6,0.0012582927946
0.294000000000000,7.5428709902e-6,0.0012669213059
0.296000000000000,7.5757785825e-6,0.0012755500244
0.298000000000000,7.6086881126e-6,0.0012841789517
0.300000000000000,7.6415995917e-6,0.0012928080891
0.302000000000000,7.6745130314e-6,0.0013014374381
0.304000000000000,7.7074284430e-6,0.0013100670001
0.306000000000000,7.7403458380e-6,0.0013186967764
0.308000000000000,7.7732652278e-6,0.0013273267687
0.310000000000000,7.8061866238e-6,0.0013359569782
0.312000000000000,7.8391100375e-6,0.0013445874064
0.314000000000000,7.8720354802e-6,0.0013532180547
0.316000000000000,7.9049629634e-6,0.0013618489247
0.318000000000000,7.9378924985e-6,0.0013704800176
0.320000000000000,7.9708240970e-6,0.0013791113350
0.322000000000000,8.0037577703e-6,0.0013877428782
0.324000000000000,8.0366935297e-6,0.0013963746488
0.326000000000000,8.0696313869e-6,0.0014050066481
0.328000000000000,8.1025713531e-6,0.0014136388775
0.330000000000000,8.1355134398e-6,0.0014222713386
0.332000000000000,8.1684576585e-6,0.0014309040326
0.334000000000000,8.2014040206e-6,0.0014395369612
0.336000000000000,8.2343525375e-6,0.0014481701256
0.338000000000000,8.2673032208e-6,0.0014568035273
0.340000000000000,8.3002560818e-6,0.0014654371678
0.342000000000000,8.3332111320e-6,0.0014740710485
0.344000000000000,8.3661683828e-6,0.0014827051709
0.346000000000000,8.3991278457e-6,0.0014913395362
0.348000000000000,8.4320895322e-6,0.0014999741461
0.350000000000000,8.4650534537e-6,0.0015086090019
0.352000000000000,8.4980196216e-6,0.0015172441051
0.354000000000000,8.5309880475e-6,0.0015258794570
0.356000000000000,8.5639587428e-6,0.0015345150592
0.358000000000000,8.5969317189e-6,0.0015431509130
0.360000000000000,8.6299069873e-6,0.0015517870199
0.362000000000000,8.6628845595e-6,0.0015604233814
0.364000000000000,8.6958644470e-6,0.0015690599988
0.366000000000000,8.7288466611e-6,0.0015776968736
0.368000000000000,8.7618312135e-6,0.0015863340072
0.370000000000000,8.7948181155e-6,0.0015949714011
0.372000000000000,8.8278073787e-6,0.0016036090567
0.374000000000000,8.8607990145e-6,0.0016122469754
0.376000000000000,8.8937930344e-6,0.0016208851587
0.378000000000000,8.9267894499e-6,0.0016295236080
0.380000000000000,8.9597882724e-6,0.0016381623248
0.382000000000000,8.9927895135e-6,0.0016468013104
0.384000000000000,9.0257931847e-6,0.0016554405663
0.386000000000000,9.0587992973e-6,0.0016640800940
0.388000000000000,9.0918078630e-6,0.0016727198949
0.390000000000000,9.1248188932e-6,0.0016813599704
